date,prophet_units,sku,neural_units,ensemble_units
2024-06-23,19.338550379552057,SKU_100,-41.07433,-10.867889810223973
2024-06-30,19.25074515138496,SKU_100,-41.422955,-11.08610492430752
2024-07-07,19.162939923217863,SKU_100,-41.771496,-11.304278038391068
2024-07-14,19.075134695050775,SKU_100,-42.21708,-11.570972652474614
2024-07-21,18.987329466883686,SKU_100,-42.56564,-11.789155266558158
2024-07-28,18.89952423871659,SKU_100,-42.914116,-12.007295880641704
2024-08-04,18.8117190105495,SKU_100,-43.35977,-12.27402549472525
2024-08-11,18.723913782382407,SKU_100,-43.805347,-12.540716608808795
2024-08-18,18.63610855421532,SKU_100,-44.15391,-12.758900722892342
2024-08-25,18.54830332604822,SKU_100,-44.5024,-12.97704833697589
2024-09-01,18.46049809788113,SKU_100,-44.948044,-13.243772951059437
2024-09-08,18.37269286971404,SKU_100,-45.393612,-13.510459565142979
2024-06-23,21.091477331274177,SKU_101,64.86336,42.97741866563709
2024-06-30,21.13995956900658,SKU_101,64.25284,42.69639978450329
2024-07-07,21.18844180673899,SKU_101,63.6423,42.41537090336949
2024-07-14,21.2369240444714,SKU_101,63.01315,42.1250370222357
2024-07-21,21.285406282203805,SKU_101,62.402615,41.8440106411019
2024-07-28,21.333888519936213,SKU_101,61.79205,41.562969259968106
2024-08-04,21.38237075766862,SKU_101,61.162933,41.27265187883431
2024-08-11,21.430852995401025,SKU_101,60.53379,40.98232149770051
2024-08-18,21.479335233133437,SKU_101,59.92325,40.70129261656672
2024-08-25,21.52781747086584,SKU_101,59.31269,40.42025373543292
2024-09-01,21.57629970859825,SKU_101,58.683567,40.129933354299126
2024-09-08,21.624781946330653,SKU_101,58.054424,39.83960297316533
2024-06-30,17.337902388883517,SKU_102,42.682377,30.01013969444176
2024-07-07,17.311283862084903,SKU_102,42.372665,29.841974431042452
2024-07-14,17.28466533528628,SKU_102,42.005016,29.644840667643138
2024-07-21,17.258046808487666,SKU_102,41.6953,29.476673404243833
2024-07-28,17.231428281689052,SKU_102,41.385574,29.308501140844527
2024-08-04,17.204809754890434,SKU_102,41.01795,29.111379877445216
2024-08-11,17.17819122809182,SKU_102,40.650303,28.91424711404591
2024-08-18,17.1515727012932,SKU_102,40.34059,28.746081350646598
