date,forecast_units,sku
2024-06-23,-41.07433,SKU_100
2024-06-30,-41.422955,SKU_100
2024-07-07,-41.771496,SKU_100
2024-07-14,-42.21708,SKU_100
2024-07-21,-42.56564,SKU_100
2024-07-28,-42.914116,SKU_100
2024-08-04,-43.35977,SKU_100
2024-08-11,-43.805347,SKU_100
2024-08-18,-44.15391,SKU_100
2024-08-25,-44.5024,SKU_100
2024-09-01,-44.948044,SKU_100
2024-09-08,-45.393612,SKU_100
2024-06-23,64.86336,SKU_101
2024-06-30,64.25284,SKU_101
2024-07-07,63.6423,SKU_101
2024-07-14,63.01315,SKU_101
2024-07-21,62.402615,SKU_101
2024-07-28,61.79205,SKU_101
2024-08-04,61.162933,SKU_101
2024-08-11,60.53379,SKU_101
2024-08-18,59.92325,SKU_101
2024-08-25,59.31269,SKU_101
2024-09-01,58.683567,SKU_101
2024-09-08,58.054424,SKU_101
2024-06-30,42.682377,SKU_102
2024-07-07,42.372665,SKU_102
2024-07-14,42.005016,SKU_102
2024-07-21,41.6953,SKU_102
2024-07-28,41.385574,SKU_102
2024-08-04,41.01795,SKU_102
2024-08-11,40.650303,SKU_102
2024-08-18,40.34059,SKU_102
2024-08-25,40.030857,SKU_102
2024-09-01,39.663235,SKU_102
2024-09-08,39.295586,SKU_102
2024-09-15,38.985874,SKU_102
2024-06-23,79.03296,SKU_103
2024-06-30,79.18284,SKU_103
2024-07-07,79.3327,SKU_103
2024-07-14,79.53462,SKU_103
2024-07-21,79.68449,SKU_103
2024-07-28,79.83432,SKU_103
2024-08-04,80.03626,SKU_103
2024-08-11,80.23817,SKU_103
2024-08-18,80.38803,SKU_103
2024-08-25,80.53788,SKU_103
2024-09-01,80.73982,SKU_103
2024-09-08,80.94173,SKU_103
2024-06-09,108.4802,SKU_104
2024-06-16,108.7066,SKU_104
2024-06-23,108.945366,SKU_104
2024-06-30,109.17183,SKU_104
2024-07-07,109.398254,SKU_104
2024-07-14,109.63084,SKU_104
2024-07-21,109.85726,SKU_104
2024-07-28,110.083664,SKU_104
2024-08-04,110.316284,SKU_104
2024-08-11,110.548874,SKU_104
2024-08-18,110.77531,SKU_104
2024-08-25,111.00171,SKU_104
2024-06-09,11.499465,SKU_105
2024-06-16,11.456844,SKU_105
2024-06-23,11.248541,SKU_105
2024-06-30,11.20575,SKU_105
2024-07-07,11.16304,SKU_105
2024-07-14,11.03754,SKU_105
2024-07-21,10.994828,SKU_105
2024-07-28,10.952194,SKU_105
2024-08-04,10.826614,SKU_105
2024-08-11,10.701128,SKU_105
2024-08-18,10.658404,SKU_105
2024-08-25,10.615762,SKU_105
2024-06-23,-117.43515,SKU_106
2024-06-30,-116.99022,SKU_106
2024-07-07,-116.54515,SKU_106
2024-07-14,-116.05695,SKU_106
2024-07-21,-115.61191,SKU_106
2024-07-28,-115.16674,SKU_106
2024-08-04,-114.67866,SKU_106
2024-08-11,-114.19046,SKU_106
2024-08-18,-113.745415,SKU_106
2024-08-25,-113.30025,SKU_106
2024-09-01,-112.812164,SKU_106
2024-09-08,-112.32395,SKU_106
2024-06-09,26.857077,SKU_107
2024-06-16,27.280876,SKU_107
2024-06-23,27.820797,SKU_107
2024-06-30,28.244612,SKU_107
2024-07-07,28.668419,SKU_107
2024-07-14,29.150282,SKU_107
2024-07-21,29.57409,SKU_107
2024-07-28,29.997889,SKU_107
2024-08-04,30.479761,SKU_107
2024-08-11,30.96162,SKU_107
2024-08-18,31.385427,SKU_107
2024-08-25,31.809233,SKU_107
2024-06-30,38.23591,SKU_108
2024-07-07,38.06635,SKU_108
2024-07-14,37.898315,SKU_108
2024-07-21,37.728756,SKU_108
2024-07-28,37.55916,SKU_108
2024-08-04,37.391163,SKU_108
2024-08-11,37.223125,SKU_108
2024-08-18,37.05357,SKU_108
2024-08-25,36.883976,SKU_108
