cluster,recency_mean,recency_min,recency_max,frequency_mean,frequency_min,frequency_max,monetary_mean,monetary_min,monetary_max,num_customers
0,70.13888888888889,23,121,2.0,2,2,350.1466666666667,287.91,471.3,36
1,37.16814159292036,1,93,8.141592920353983,8,9,1170.3726548672564,975.4,1504.16,113
2,38.12218649517685,1,143,7.0,7,7,1100.4991318327973,745.06,1485.65,311
3,51.350515463917525,1,146,6.0,6,6,918.3227216494846,551.54,1260.34,485
4,61.0092936802974,1,185,5.0,5,5,788.1828810408922,461.21,1110.89,538
5,75.3527397260274,3,215,3.0,3,3,468.942602739726,251.7,677.37,292
6,71.52549019607844,2,261,4.0,4,4,620.1763529411764,321.27,876.95,510
